epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0905,1.30689,1.97624,1.05763,0.6364,0.31771,0.34965,0.2236,1.21563,1.17286,1.01211,0.00332664,0.00332664,0.00332664
2,155.911,1.24355,1.30213,1.03868,0.64908,0.33252,0.36635,0.2291,1.19448,1.09156,1.02652,0.00659404,0.00659404,0.00659404
3,230.451,1.27104,1.25922,1.05322,0.63282,0.33111,0.3579,0.21908,1.22623,1.11458,1.03352,0.00979544,0.00979544,0.00979544
4,304.678,1.29254,1.20824,1.05901,0.6155,0.34646,0.35202,0.2172,1.23544,1.0884,1.03284,0.009703,0.009703,0.009703
5,378.577,1.25268,1.10891,1.04631,0.65911,0.33858,0.36979,0.23054,1.23885,1.04806,1.04139,0.009604,0.009604,0.009604
6,455.718,1.22142,1.04797,1.03717,0.68966,0.36532,0.41086,0.25997,1.14974,0.95325,1.00336,0.009505,0.009505,0.009505
7,531.228,1.19919,0.99757,1.02599,0.56551,0.3783,0.42846,0.27071,1.12324,0.91676,0.99949,0.009406,0.009406,0.009406
8,607.139,1.16577,0.95684,1.01537,0.71656,0.37911,0.43129,0.2775,1.11578,0.8704,0.99393,0.009307,0.009307,0.009307
9,682.684,1.16041,0.93737,1.01167,0.74602,0.38564,0.44931,0.28858,1.09057,0.86655,0.98957,0.009208,0.009208,0.009208
10,757.697,1.14131,0.91388,1.00348,0.74725,0.40307,0.46398,0.29824,1.07621,0.82936,0.97898,0.009109,0.009109,0.009109
11,833.197,1.1364,0.90158,1.00182,0.74595,0.39246,0.45584,0.2953,1.06549,0.83343,0.98167,0.00901,0.00901,0.00901
12,907.979,1.11598,0.88007,0.99468,0.73608,0.4109,0.46768,0.302,1.06714,0.82446,0.97032,0.008911,0.008911,0.008911
13,984.69,1.11591,0.8754,0.99624,0.57267,0.4247,0.47362,0.3083,1.04965,0.79213,0.95972,0.008812,0.008812,0.008812
14,1060.85,1.10158,0.85613,0.98961,0.75517,0.40577,0.46962,0.30656,1.04004,0.79134,0.9625,0.008713,0.008713,0.008713
15,1134.83,1.09726,0.84874,0.98582,0.75976,0.41609,0.48111,0.31238,1.04462,0.78525,0.96447,0.008614,0.008614,0.008614
16,1210.61,1.0912,0.84189,0.98439,0.58564,0.41497,0.47972,0.31252,1.04293,0.7821,0.96092,0.008515,0.008515,0.008515
17,1285.38,1.08566,0.83279,0.98077,0.62147,0.42833,0.48393,0.31843,1.03055,0.78442,0.96381,0.008416,0.008416,0.008416
18,1360.55,1.07587,0.82748,0.98079,0.57248,0.44694,0.49293,0.32234,1.02289,0.76239,0.95483,0.008317,0.008317,0.008317
19,1434.19,1.0646,0.81309,0.97638,0.59358,0.42354,0.49075,0.3238,1.0104,0.75345,0.95078,0.008218,0.008218,0.008218
20,1508.26,1.06841,0.81095,0.97669,0.59646,0.42476,0.49292,0.3245,1.00576,0.74711,0.94969,0.008119,0.008119,0.008119
21,1582.61,1.06341,0.80686,0.97454,0.58339,0.43767,0.49322,0.32517,1.02046,0.74573,0.95359,0.00802,0.00802,0.00802
22,1656.67,1.04897,0.79153,0.96844,0.63663,0.44483,0.49924,0.32942,1.00362,0.7359,0.94604,0.007921,0.007921,0.007921
23,1731.38,1.04501,0.78891,0.96712,0.59268,0.44709,0.50348,0.33337,0.99542,0.7349,0.94723,0.007822,0.007822,0.007822
24,1805.02,1.04377,0.78285,0.97039,0.73142,0.4507,0.51842,0.3435,0.99531,0.7238,0.94592,0.007723,0.007723,0.007723
25,1879.39,1.03959,0.77909,0.96375,0.58887,0.44531,0.51026,0.33876,0.98828,0.72102,0.94186,0.007624,0.007624,0.007624
26,1953.47,1.0345,0.77036,0.96402,0.65226,0.44679,0.51141,0.34081,0.98837,0.72382,0.94154,0.007525,0.007525,0.007525
27,2027.69,1.0349,0.77136,0.9625,0.64472,0.46338,0.52242,0.34759,0.9862,0.70998,0.94235,0.007426,0.007426,0.007426
28,2101.27,1.02935,0.76356,0.96191,0.65718,0.43659,0.51418,0.34088,0.99189,0.71854,0.94489,0.007327,0.007327,0.007327
29,2174.71,1.02683,0.75484,0.96161,0.66802,0.45529,0.52188,0.34847,0.97327,0.70533,0.93448,0.007228,0.007228,0.007228
30,2249.36,1.01916,0.75343,0.95715,0.62605,0.45486,0.52372,0.34936,0.97575,0.70255,0.93656,0.007129,0.007129,0.007129
31,2323.11,1.01677,0.74989,0.95786,0.58054,0.48132,0.52539,0.35138,0.97376,0.69994,0.93758,0.00703,0.00703,0.00703
32,2397.85,1.02024,0.75171,0.9565,0.57843,0.49079,0.53154,0.3557,0.96972,0.69547,0.9345,0.006931,0.006931,0.006931
33,2471.84,1.01059,0.74387,0.95363,0.60308,0.47277,0.53435,0.35712,0.96361,0.68636,0.93223,0.006832,0.006832,0.006832
